P;N;M;K;seed;beta0;beta1;mcmc;anneal;logspace;
1.0;200;600;3;42;0.1;10;5000;100;F;
1.0;200;600;3;42;0.1;10;5000;200;F;
1.0;200;600;3;42;0.1;10;5000;500;F;
1.0;200;600;3;42;0.1;10;10000;100;F;
1.0;200;600;3;42;0.1;10;20000;100;F;
1.0;200;600;3;42;0.1;10;20000;200;F;
1.0;200;600;3;42;0.1;10;20000;500;F;
1.0;200;700;3;42;0.1;10;1000;100;F;
1.0;200;700;3;42;0.1;10;5000;100;F;
1.0;200;700;3;42;0.1;10;5000;200;F;
1.0;200;700;3;42;0.1;10;5000;500;F;
1.0;200;700;3;42;0.1;10;10000;100;F;
1.0;200;700;3;42;0.1;10;20000;100;F;
1.0;200;700;3;42;0.1;10;20000;200;F;
1.0;200;700;3;42;0.1;10;20000;500;F;
0.97;200;725;3;42;0.1;10;1000;100;F;
0.77;200;750;3;42;0.1;10;1000;100;F;
0.63;200;775;3;42;0.1;10;1000;100;F;
0.43;200;780;3;42;0.1;10;1000;100;F;
0.73;200;782;3;42;0.1;10;1000;100;F;
0.53;200;784;3;42;0.1;10;1000;100;F;
0.43;200;786;3;42;0.1;10;1000;100;F;
0.63;200;788;3;42;0.1;10;1000;100;F;
0.36;200;790;3;42;0.1;10;1000;100;F;
0.47;200;792;3;42;0.1;10;1000;100;F;
0.5;200;794;3;42;0.1;10;1000;100;F;
0.43;200;796;3;42;0.1;10;1000;100;F;
0.47;200;798;3;42;0.1;10;1000;100;F;
0.47;200;800;3;42;0.1;10;1000;100;F;
0.33;200;800;3;42;0.1;10;1000;100;F;
0.7;200;800;3;42;0.1;10;5000;100;F;
0.87;200;800;3;42;0.1;10;5000;200;F;
0.83;200;800;3;42;0.1;10;5000;500;F;
0.8;200;800;3;42;0.1;10;10000;100;F;
0.8;200;800;3;42;0.1;10;20000;100;F;
0.9;200;800;3;42;0.1;10;20000;200;F;
0.87;200;800;3;42;0.1;10;20000;500;F;
0.3;200;802;3;42;0.1;10;1000;100;F;
0.53;200;804;3;42;0.1;10;1000;100;F;
0.3;200;806;3;42;0.1;10;1000;100;F;
0.17;200;808;3;42;0.1;10;1000;100;F;
0.3;200;810;3;42;0.1;10;1000;100;F;
0.43;200;812;3;42;0.1;10;1000;100;F;
0.2;200;814;3;42;0.1;10;1000;100;F;
0.2;200;816;3;42;0.1;10;1000;100;F;
0.4;200;818;3;42;0.1;10;1000;100;F;
0.17;200;820;3;42;0.1;10;1000;100;F;
0.2;200;825;3;42;0.1;10;1000;100;F;
0.13;200;850;3;42;0.1;10;1000;100;F;
0.03;200;875;3;42;0.1;10;1000;100;F;
0.0;200;900;3;42;0.1;10;1000;100;F;
0.0;200;900;3;42;0.1;10;5000;100;F;
0.07;200;900;3;42;0.1;10;5000;200;F;
0.13;200;900;3;42;0.1;10;5000;500;F;
0.0;200;900;3;42;0.1;10;10000;100;F;
0.03;200;900;3;42;0.1;10;20000;100;F;
0.0;200;900;3;42;0.1;10;20000;200;F;
0.07;200;900;3;42;0.1;10;20000;500;F;
0.0;200;1000;3;42;0.1;10;5000;100;F;
0.0;200;1000;3;42;0.1;10;5000;200;F;
0.0;200;1000;3;42;0.1;10;5000;500;F;
0.0;200;1000;3;42;0.1;10;10000;100;F;
0.0;200;1000;3;42;0.1;10;20000;100;F;
0.0;200;1000;3;42;0.1;10;20000;200;F;
0.0;200;1000;3;42;0.1;10;20000;500;F;
1.0;300;800;3;42;0.1;10;1000;100;F;
1.0;300;900;3;42;0.1;10;1000;100;F;
0.97;300;1000;3;42;0.1;10;1000;100;F;
0.7;300;1100;3;42;0.1;10;1000;100;F;
0.33;300;1200;3;42;0.1;10;1000;100;F;
0.03;300;1300;3;42;0.1;10;1000;100;F;
0.0;300;1400;3;42;0.1;10;1000;100;F;
0.83;400;1400;3;42;0.1;10;1000;100;F;
0.63;400;1500;3;42;0.1;10;1000;100;F;
0.13;400;1600;3;42;0.1;10;1000;100;F;
0.0;400;1700;3;42;0.1;10;1000;100;F;
0.0;400;1800;3;42;0.1;10;1000;100;F;
1.0;400;1300;3;42;0.1;10;1000;100;F;
1.0;400;1200;3;42;0.1;10;1000;100;F;
0.83;500;1750;3;42;0.1;10;1000;100;F;
0.26;500;1875;3;42;0.1;10;1000;100;F;
0.07;500;2000;3;42;0.1;10;1000;100;F;
0.0;500;2125;3;42;0.1;10;1000;100;F;
0.0;500;2250;3;42;0.1;10;1000;100;F;
1.0;500;1375;3;42;0.1;10;1000;100;F;
1.0;500;1500;3;42;0.1;10;1000;100;F;
0.93;500;1625;3;42;0.1;10;1000;100;F;
0.66;600;2100;3;42;0.1;10;1000;100;F;
0.23;600;2250;3;42;0.1;10;1000;100;F;
0.0;600;2400;3;42;0.1;10;1000;100;F;
0.0;600;2550;3;42;0.1;10;1000;100;F;
0.0;600;2700;3;42;0.1;10;1000;100;F;
1.0;600;1800;3;42;0.1;10;1000;100;F;
1.0;600;1650;3;42;0.1;10;1000;100;F;
0.9;600;1950;3;42;0.1;10;1000;100;F;
1.0;700;2100;3;42;0.1;10;1000;100;F;
0.93;700;2275;3;42;0.1;10;1000;100;F;
0.5;700;2450;3;42;0.1;10;1000;100;F;
0.13;700;2625;3;42;0.1;10;1000;100;F;
0.0;700;2800;3;42;0.1;10;1000;100;F;
0.0;700;2975;3;42;0.1;10;1000;100;F;
0.0;700;3150;3;42;0.1;10;1000;100;F;
